zip,ev_2025,ev_2021,station_count,l2_ports,dcfc_ports,total_ports,total_ports_2021,city
93408,9,9,0,0,0,0,0,
93410,5,0,0,0,0,0,0,
93412,14,6,0,0,0,0,0,
93420,1689,507,9,15,48,63,2,Arroyo Grande
93421,25,8,0,0,0,0,0,
93422,1290,366,15,20,43,63,9,Atascadero
93423,9,7,0,0,0,0,0,
93424,133,57,3,7,0,7,5,Avila Beach
93426,38,8,2,0,3,3,1,Bradley
93427,321,113,3,6,20,26,2,Buellton
93428,363,128,7,16,0,16,12,Cambria
93430,157,59,3,6,0,6,4,Cayucos
93432,58,12,1,3,0,3,3,Creston
93433,424,129,3,2,20,22,2,Grover Beach
93434,126,14,0,0,0,0,0,
93435,2,1,0,0,0,0,0,
93436,1072,232,11,45,12,57,27,Lompoc
93437,99,16,0,0,0,0,0,
93438,4,1,0,0,0,0,0,
93440,67,15,2,2,4,6,2,Los Alamos
93441,89,24,0,0,0,0,0,
93442,498,176,3,4,4,8,0,Morro Bay
93443,13,4,0,0,0,0,0,
93444,1122,315,0,0,0,0,0,
93445,168,40,0,0,0,0,0,
93446,1471,388,56,128,69,197,155,Paso Robles
93447,36,8,0,0,0,0,0,
93448,17,7,0,0,0,0,0,
93449,669,206,24,46,22,68,38,Pismo Beach
93450,4,1,1,0,12,12,0,San Ardo
93451,96,21,0,0,0,0,0,
93452,13,3,3,14,0,14,14,San Simeon
93453,91,30,0,0,0,0,0,
93454,610,118,34,71,54,125,6,Santa Maria
93455,1524,289,12,41,30,71,6,Santa Maria
93456,18,4,0,0,0,0,0,
93457,9,1,0,0,0,0,0,
93458,526,79,5,8,1,9,1,Santa Maria
93460,314,100,10,25,8,33,15,Santa Ynez
93461,21,3,1,0,1,1,1,Shandon
93463,472,141,10,19,5,24,12,Solvang
93464,10,1,0,0,0,0,0,
93465,537,151,5,11,0,11,11,Templeton
93472,1,0,0,0,0,0,0,
93483,17,4,0,0,0,0,0,
93499,0,1,1,0,1,1,1,Pismo Beach
93501,65,19,12,8,65,73,22,Mojave
93502,1,3,0,0,0,0,0,
93504,10,3,0,0,0,0,0,
93505,211,48,1,2,0,2,0,California City
93510,363,108,1,3,0,3,3,Acton
93512,3,0,0,0,0,0,0,
93513,23,3,0,0,0,0,0,
93514,272,62,7,6,49,55,16,Bishop
93515,5,0,0,0,0,0,0,
93516,37,3,4,1,3,4,0,Boron
93517,14,3,3,1,16,17,5,Bridgeport
93518,10,3,0,0,0,0,0,
93519,1,0,0,0,0,0,0,
93522,1,1,0,0,0,0,0,
93523,83,20,4,8,0,8,2,North Edwards
93524,1,0,0,0,0,0,0,
93525,1,0,0,0,0,0,0,
93526,10,4,0,0,0,0,0,
93527,26,6,8,6,25,31,7,Inyokern
93528,1,0,0,0,0,0,0,
93529,13,1,0,0,0,0,0,
93530,1,0,0,0,0,0,0,
93531,28,4,0,0,0,0,0,
93532,91,31,0,0,0,0,0,
93534,761,158,22,43,25,68,16,Lancaster
93535,1351,253,16,36,8,44,19,Lancaster
93536,2628,572,11,29,10,39,0,Lancaster
93539,11,6,0,0,0,0,0,
93541,15,3,1,0,6,6,0,Lee Vining
93543,199,36,2,2,0,2,0,Littlerock
93544,26,6,0,0,0,0,0,
93545,38,9,1,0,16,16,16,Lone Pine
93546,207,54,8,22,26,48,26,Mammoth Lakes
93549,2,0,3,0,23,23,4,Olancha
93550,1362,240,8,36,2,38,4,Palmdale
93551,2935,660,18,22,54,76,34,Palmdale
93552,1113,207,2,2,0,2,0,Palmdale
93553,51,17,0,0,0,0,0,
93554,0,1,0,0,0,0,0,
93555,536,148,6,8,17,25,0,Ridgecrest
93556,3,1,0,0,0,0,0,
93560,457,95,2,14,0,14,0,Rosamond
93561,754,173,15,37,22,59,4,Tehachapi
93562,9,6,2,10,4,14,0,Searles Valley
93563,2,0,0,0,0,0,0,
93581,19,7,0,0,0,0,0,
93584,0,1,0,0,0,0,0,
93586,0,3,0,0,0,0,0,
93590,11,2,0,0,0,0,0,
93591,77,18,0,0,0,0,0,
93592,2,0,0,0,0,0,0,
93596,1,0,0,0,0,0,0,
93599,6,1,0,0,0,0,0,
93601,33,8,1,10,0,10,10,Ahwahnee
93602,48,14,0,0,0,0,0,
93603,2,1,0,0,0,0,0,
93604,12,7,0,0,0,0,0,
93605,16,4,0,0,0,0,0,
93606,3,2,0,0,0,0,0,
93608,5,0,0,0,0,0,0,
93609,78,22,0,0,0,0,0,
93610,298,63,7,3,23,26,3,Chowchilla
93611,1577,473,12,21,0,21,4,Clovis
93612,524,143,17,65,30,95,17,Clovis
93613,23,11,0,0,0,0,0,
93614,258,88,4,26,0,26,18,Coarsegold
93615,26,3,0,0,0,0,0,
93616,34,7,1,2,0,2,0,Del Rey
93618,328,50,3,7,0,7,0,Dinuba
93619,3397,817,0,0,0,0,0,
93620,105,22,0,0,0,0,0,
93621,8,1,0,0,0,0,0,
93622,118,23,7,3,78,81,63,Firebaugh
93623,2,0,3,4,8,12,10,Fish Camp
93624,2,1,0,0,0,0,0,
93625,230,40,4,11,0,11,1,Fowler
93626,181,44,0,0,0,0,0,
93627,2,0,0,0,0,0,0,
93628,3,0,0,0,0,0,0,
93630,263,51,10,15,0,15,7,Kerman
93631,350,86,2,3,0,3,3,Kingsburg
93635,1055,213,9,21,16,37,14,Los Banos
93636,1147,131,1,2,0,2,0,Madera
93637,653,127,9,8,42,50,20,Madera
93638,497,89,12,15,11,26,6,Madera
93639,9,1,0,0,0,0,0,
93640,82,24,9,14,0,14,1,Mendota
93641,6,1,0,0,0,0,0,
93643,54,20,0,0,0,0,0,
93644,138,30,12,15,22,37,9,Oakhurst
93645,7,0,1,0,2,2,0,O'Neals
93646,52,6,2,3,0,3,1,Orange Cove
93647,76,13,1,4,0,4,0,Orosi
93648,114,15,4,7,0,7,1,Parlier
93649,4,2,0,0,0,0,0,
93650,59,22,4,5,4,9,4,Fresno
93651,32,14,1,2,0,2,0,Prather
93652,3,1,0,0,0,0,0,
93653,22,14,0,0,0,0,0,
93654,425,103,2,3,0,3,3,Reedley
93656,44,8,0,0,0,0,0,
93657,631,141,4,11,0,11,2,Sanger
93660,25,8,1,1,0,1,1,San Joaquin
93662,337,70,7,4,22,26,6,Selma
93663,1,0,0,0,0,0,0,
93664,20,8,0,0,0,0,0,
93666,3,1,0,0,0,0,0,
93667,33,9,0,0,0,0,0,
93668,7,2,0,0,0,0,0,
93669,1,0,0,0,0,0,0,
93670,1,0,0,0,0,0,0,
93673,5,1,2,2,18,20,16,Madera
93675,42,13,0,0,0,0,0,
93701,68,24,0,0,0,0,0,
93702,324,71,1,0,6,6,0,Fresno
93703,248,50,6,15,0,15,0,Fresno
93704,666,232,20,20,0,20,0,Fresno
93705,364,94,0,0,0,0,0,
93706,323,75,3,0,4,4,3,Fresno
93709,0,1,0,0,0,0,0,
93710,539,131,13,16,41,57,9,Fresno
93711,1458,427,7,23,3,26,6,Fresno
93712,1,0,0,0,0,0,0,
93720,1938,578,31,73,47,120,8,Fresno
93721,174,58,26,38,8,46,6,Fresno
93722,1728,410,24,13,53,66,26,Fresno
93723,671,93,0,0,0,0,0,
93725,341,56,0,0,0,0,0,
93726,405,104,8,18,0,18,0,Fresno
93727,2002,344,15,17,26,43,5,Fresno
93728,210,50,9,8,4,12,0,Fresno
93729,23,7,0,0,0,0,0,
93730,1265,341,3,3,0,3,0,Fresno
93737,379,67,0,0,0,0,0,
93740,3,1,7,7,0,7,0,Fresno
93744,2,1,0,0,0,0,0,
93745,3,1,0,0,0,0,0,
93747,12,3,0,0,0,0,0,
93755,6,1,0,0,0,0,0,
93771,1,0,0,0,0,0,0,
93772,2,0,0,0,0,0,0,
93775,1,0,0,0,0,0,0,
93776,0,1,0,0,0,0,0,
93790,1,0,0,0,0,0,0,
93791,2,0,0,0,0,0,0,
93792,2,0,0,0,0,0,0,
93793,0,1,0,0,0,0,0,
93794,4,1,0,0,0,0,0,
93901,601,170,20,39,29,68,8,Salinas
93902,7,2,0,0,0,0,0,
93905,562,106,8,8,8,16,0,Salinas
93906,1045,184,15,24,28,52,18,Salinas
93907,681,197,6,10,6,16,12,Salinas
93908,851,214,5,9,0,9,3,Salinas
93912,14,5,0,0,0,0,0,
93915,8,1,0,0,0,0,0,
93920,30,8,4,9,8,17,17,Big Sur
93921,217,105,4,12,0,12,7,Carmel-by-the-Sea
93922,50,17,0,0,0,0,0,
93923,1275,442,19,48,0,48,17,Carmel-by-the-Sea
93924,616,216,3,9,0,9,7,Carmel Valley
93925,17,2,0,0,0,0,0,
93926,100,18,1,18,0,18,0,Gonzales
93927,163,25,1,0,12,12,12,Greenfield
93928,4,3,0,0,0,0,0,
93930,189,43,6,2,23,25,2,King City
93932,11,4,0,0,0,0,0,
93933,1337,292,36,58,24,82,17,Marina
93940,1616,502,24,35,20,55,31,Monterey
93942,28,11,0,0,0,0,0,
93943,2,0,0,0,0,0,0,
93944,12,2,0,0,0,0,0,
93950,874,252,16,23,18,41,5,Pacific Grove
93953,549,194,7,15,2,17,14,Del Monte Forest
93954,2,0,0,0,0,0,0,
93955,882,203,15,22,28,50,14,Sand City
93960,278,43,6,6,24,30,4,Soledad
93962,21,6,0,0,0,0,0,
93970,0,1,0,0,0,0,0,
94002,3809,1371,4,5,7,12,4,Belmont
94003,0,1,0,0,0,0,0,
94005,521,210,43,130,0,130,2,Brisbane
94010,6335,2335,145,260,40,300,12,Burlingame
94011,18,15,0,0,0,0,0,
94012,0,1,0,0,0,0,0,
94013,1,0,0,0,0,0,0,
94014,2262,453,8,21,27,48,21,Daly City
94015,3489,788,11,14,46,60,45,Daly City
94017,8,1,0,0,0,0,0,
94018,296,112,2,3,0,3,0,El Granada
94019,1271,546,11,23,12,35,20,Half Moon Bay
94020,127,55,0,0,0,0,0,
94021,7,8,0,0,0,0,0,
94022,4522,2107,32,163,41,204,123,Los Altos Hills
94023,54,22,0,0,0,0,0,
94024,5048,2184,4,30,4,34,30,Los Altos
94025,6405,2611,309,574,49,623,84,Menlo Park
94026,29,18,0,0,0,0,0,
94027,1578,778,3,6,0,6,2,Atherton
94028,1527,714,5,8,12,20,2,Portola Valley
94030,2461,765,29,48,15,63,12,Millbrae
